x,y
3,1
6,2
8,9
9,14
3,1
3.00134,1
3.00268,1
3.00402,1.00001
3.00536,1.00001
3.0067,1.00002
3.00804,1.00003
3.00938,1.00004
3.01072,1.00006
3.01206,1.00007
3.0134,1.00009
3.01474,1.00011
3.01607,1.00013
3.01741,1.00015
3.01875,1.00018
3.02009,1.0002
3.02143,1.00023
3.02277,1.00026
3.02411,1.00029
3.02545,1.00032
3.02679,1.00036
3.02813,1.0004
3.02947,1.00043
3.03081,1.00047
3.03215,1.00052
3.03348,1.00056
3.03482,1.00061
3.03616,1.00065
3.0375,1.0007
3.03884,1.00075
3.04018,1.00081
3.04152,1.00086
3.04285,1.00092
3.04419,1.00098
3.04553,1.00104
3.04687,1.0011
3.04821,1.00116
3.04955,1.00123
3.05088,1.0013
3.05222,1.00136
3.05356,1.00144
3.0549,1.00151
3.05623,1.00158
3.05757,1.00166
3.05891,1.00174
3.06025,1.00182
3.06158,1.0019
3.06292,1.00198
3.06426,1.00207
3.06559,1.00215
3.06693,1.00224
3.06827,1.00233
3.0696,1.00243
3.07094,1.00252
3.07228,1.00262
3.07361,1.00271
3.07495,1.00281
3.07628,1.00291
3.07762,1.00302
3.07895,1.00312
3.08029,1.00323
3.08163,1.00334
3.08296,1.00345
3.0843,1.00356
3.08563,1.00367
3.08696,1.00379
3.0883,1.00391
3.08963,1.00403
3.09097,1.00415
3.0923,1.00427
3.09364,1.00439
3.09497,1.00452
3.0963,1.00465
3.09764,1.00478
3.09897,1.00491
3.1003,1.00504
3.10163,1.00518
3.10297,1.00532
3.1043,1.00545
3.10563,1.00559
3.10696,1.00574
3.1083,1.00588
3.10963,1.00603
3.11096,1.00617
3.11229,1.00632
3.11362,1.00648
3.11495,1.00663
3.11628,1.00678
3.11761,1.00694
3.11894,1.0071
3.12027,1.00726
3.1216,1.00742
3.12293,1.00758
3.12426,1.00775
3.12559,1.00792
3.12692,1.00809
3.12825,1.00826
3.12958,1.00843
3.1309,1.00861
3.13223,1.00878
3.13356,1.00896
3.15395,1.01171
3.17433,1.01445
3.19471,1.0172
3.2151,1.01995
3.23548,1.0227
3.25587,1.02544
3.27625,1.02819
3.29664,1.03094
3.31702,1.03368
3.33741,1.03643
3.35779,1.03918
3.37818,1.04193
3.39856,1.04467
3.41895,1.04742
3.43933,1.05017
3.45972,1.05291
3.4801,1.05566
3.50049,1.05841
3.52087,1.06116
3.54126,1.0639
3.56164,1.06665
3.58203,1.0694
3.60241,1.07215
3.62279,1.07489
3.64318,1.07764
3.66356,1.08039
3.68395,1.08313
3.70433,1.08588
3.72472,1.08863
3.7451,1.09138
3.76549,1.09412
3.78587,1.09687
3.80626,1.09962
3.82664,1.10236
3.84703,1.10511
3.86741,1.10786
3.8878,1.11061
3.90818,1.11335
3.92857,1.1161
3.94895,1.11885
3.96934,1.12159
3.98972,1.12434
4.01011,1.12709
4.03049,1.12984
4.05087,1.13258
4.07126,1.13533
4.09164,1.13808
4.11203,1.14083
4.13241,1.14357
4.1528,1.14632
4.17318,1.14907
4.19357,1.15181
4.21395,1.15456
4.23434,1.15731
4.25472,1.16006
4.27511,1.1628
4.29549,1.16555
4.31588,1.1683
4.33626,1.17104
4.35665,1.17379
4.37703,1.17654
4.39742,1.17929
4.4178,1.18203
4.43819,1.18478
4.45857,1.18753
4.47895,1.19028
4.49934,1.19302
4.51972,1.19577
4.54011,1.19852
4.56049,1.20126
4.58088,1.20401
4.60126,1.20676
4.62165,1.20951
4.64203,1.21225
4.66242,1.215
4.6828,1.21775
